,Summer_two_weeks_dpH,Summer_Full_exp_dpH,Winter_two_weeks_dpH,Winter_Full_exp_dpH,Summer_two_weeks_omega,Summer_Full_exp_omega,Winter_two_weeks_omega,Winter_Full_exp_omega
1058,5.7697296e-05,0.14486313,0.013000488,0.013012409,1.5806595,2.181443,1.63664,1.6366857
1059,5.7697296e-05,0.14046144,0.014451027,0.0144639015,1.5845599,2.1650412,1.6461357,1.6461827
1060,5.865097e-05,0.14199495,0.01626587,0.01627922,1.5877018,2.1747322,1.656077,1.6561266
1061,5.9127808e-05,0.15459108,0.018708706,0.018722057,1.5905738,2.236571,1.6672794,1.6673301
1062,5.9127808e-05,0.1689601,0.022053719,0.022066593,1.594334,2.3108442,1.6807133,1.6807619
1063,5.9604645e-05,0.18080807,0.025096416,0.02510786,1.6006079,2.3788865,1.6927538,1.6928005
1064,5.9604645e-05,0.18946075,0.029054642,0.029066086,1.6077665,2.4337447,1.7070518,1.7070955
1065,6.0081482e-05,0.19515228,0.029535294,0.02954483,1.6135942,2.4725268,1.7059174,1.7059561
1066,5.9604645e-05,0.19680071,0.02138853,0.021398544,1.6170459,2.4878995,1.6708608,1.6708984
1067,5.865097e-05,0.1379509,0.011420727,0.011434078,1.6184427,2.1916342,1.6303025,1.6303524
1068,5.722046e-05,0.08540583,0.0072774887,0.007291794,1.6279494,1.9654503,1.6118178,1.6118706
1069,5.5789948e-05,0.06756735,0.00488472,0.004895687,1.6406083,1.9046115,1.5978388,1.5978775
1070,5.5789948e-05,0.060575962,0.0036096573,0.0036182404,1.6595325,1.8970183,1.580815,1.5808431
1071,5.531311e-05,0.055185318,0.0032806396,0.0032858849,1.6905361,1.9094877,1.5560061,1.5560254
1072,5.4359436e-05,0.061289787,0.0040450096,0.004049301,1.7183285,1.9668056,1.5312265,1.531241
1073,5.38826e-05,0.077753544,0.0039258003,0.003930092,1.735279,2.0588896,1.5022949,1.5023104
1074,5.5789948e-05,0.09046364,0.01522398,0.015227795,1.736681,2.118638,1.5084089,1.508422
1075,5.865097e-05,0.10562277,0.04454899,0.044552803,1.737379,2.1906493,1.6101292,1.6101433
1076,5.865097e-05,0.13093758,0.058405876,0.0584116,1.7351928,2.311457,1.6785975,1.6786169
1077,5.865097e-05,0.14452887,0.013200283,0.013206482,1.731739,2.3754323,1.5531689,1.553194
1078,5.8174133e-05,0.17054749,0.009915352,0.009922981,1.7269417,2.506212,1.5440725,1.5441008
1079,5.7697296e-05,0.17381334,0.009599686,0.009609222,1.7213246,2.517027,1.5416781,1.5417098
1080,5.865097e-05,0.1698823,0.010014534,0.010025024,1.716726,2.4912536,1.5430831,1.543121
1081,5.8174133e-05,0.1638012,0.010645866,0.010658741,1.7167975,2.4548957,1.5502161,1.5502611
1082,5.865097e-05,0.15862656,0.012091637,0.012105942,1.7162528,2.4304912,1.5637693,1.5638202
1083,5.8174133e-05,0.15007019,0.014939308,0.014954567,1.7133166,2.387099,1.5812154,1.5812699
1084,5.9127808e-05,0.1431036,0.016297817,0.016313553,1.710957,2.3502681,1.5934674,1.5935234
1085,5.9127808e-05,0.14774132,0.01612854,0.01614523,1.7084147,2.3679698,1.6004258,1.6004852
1086,6.0081482e-05,0.14611769,0.017951965,0.017970085,1.7071644,2.3532066,1.6118046,1.611868
1087,6.055832e-05,0.098400116,0.019247532,0.019266605,1.7062002,2.1179478,1.6207768,1.6208457
1088,5.9127808e-05,0.059053898,0.0218606,0.021880627,1.7203588,1.9593797,1.6331514,1.6332253
1089,5.7697296e-05,0.05473852,0.028063774,0.028084755,1.7455937,1.9692521,1.6558977,1.655975
1090,5.6743622e-05,0.053672314,0.029102802,0.029123306,1.7687893,1.9905721,1.657173,1.6572503
1091,5.6743622e-05,0.047788143,0.024293423,0.024312496,1.784818,1.9827042,1.6370239,1.6370958
1092,5.6743622e-05,0.041158676,0.00921154,0.009230137,1.8013026,1.9720286,1.5822926,1.5823584
